TowNum|Tow_Firm|Tow_Firm_Address|Tow_Firm_Phone|Vehicle_State|Vehicle_Plate|Vehicle_Year|Make|Model|Color|Tow_From_Address|Date|Time|geom
323445|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|CT|AD17962|2015|CHEVY|CRUZE|GRY|205 BARBOUR ST|6142016|1711|(41.7910391110361, -72.6781316074672)
323446|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|AC68436|2016|TOYOTA|CAMRY|GRY|PARK TER & RUSS ST|6142016|1737|(41.7620657487271, -72.6929333684276)
323447|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|||2001|ACURA|3.2CL|RED|PARK TER & RUSS ST|6142016|1740|(41.7620657487271, -72.6929333684276)
323457|CORONA'S AUTO PARTS,INC.|608 WETHERSFIELD AV. HARTFORD CT. 06114|860-296-5382|RI|964904|1995|HONDA|ACCORD|GRN|201 AFFLECK ST|6152016|1004|(41.757804810362, -72.6894861754563)
323508|||860-296-5382|CT|8AHFG1|2003|PONTIAC|BONNEVILLE|GREY|399 ZION ST|6162016|2223|(41.7522825637618, -72.6937932350749)
323512|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|CT|833ZML|2009|ACURA|TL|RED|485 FLATBUSH AV|6172016|115|(41.7425297704164, -72.712193182094)
323511|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|||1996|NISSAN|PATHFINDER|TAN|BEDFORD ST & GARDEN ST|6172016|110|(41.77640722389, -72.6860748850509)
323527|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|||2000|INFINITI|I30|GRAY|CLARK ST & WESTLAND ST|6172016|1040|(41.7901855589482, -72.676661682383)
323528|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|AD06258|1994|HONDA|ACCORD|GOLD|22 WOLCOTT ST|6172016|1053|(41.7572094366911, -72.6849265770114)
323525|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|CT|9AVNK7|1995|ACURA|LEGEND|BLACK|WHITE ST & HARVARD ST|6172016|1018|(41.7339581985912, -72.7012783622409)
323526|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|CT|711YGO|2006|HONDA|CRV EX|BLACK|WHITE ST & HARVARD ST|6172016|1018|(41.7339581985912, -72.7012783622409)
323530|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|||1997|HONDA|CIVIC|GREEN|89 WESTON ST|6172016|1334|(41.7868213803991, -72.66408426158)
323440|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|CT|1AVHA8|2002|JEEP|LIBERTY|SILVER|128 BUSHNELL ST|6142016|1223|(41.7402955664828, -72.6818831890134)
323443|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|||2005|DODGE|MAGNUM|WHITE|817 ALBANY AV|6142016|1310|(41.7796110600167, -72.6903080068693)
323442|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|CT|514TVF|1995|NISSAN|MAXIMA|WHITE|532 PARK ST|6142016|1300|(41.7581252928571, -72.6855256326793)
323449|||860-296-5382|||1998|FORD|EXPLORER|GREEN|373 GARDEN ST|6142016|2108|(41.7792604141643, -72.6852962102296)
323448|CORONA'S AUTO PARTS,INC.|608 WETHERSFIELD AV. HARTFORD CT. 06114|860-296-5382|||2003|MERCEDES|C240|WHITE|54 ELLSWORTH ST|6142016|2109|(41.7455374771747, -72.6845098004272)
323450|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|CT|2ADHG9|1999|LINCOLN|CONTINETAL|TAN|MATHER ST & VINE ST|6142016|2212|(41.7811637486855, -72.688413681203)
323452|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|||0|NISSAN|MAX|TAN|2443 MAIN ST|6152016|216|(41.7877977201849, -72.6734656367431)
323453|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|||2000|TOYOTA|SOLARA|WHITE|EARLE ST & MAIN ST|6152016|306|(41.7904966692938, -72.6705022717685)
323454|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|||2010|INFINITI|IFX|GRY|102 CHARLOTTE ST|6152016|651|(41.7948636592362, -72.6803923172937)
323455|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|1ATXW8|2006|HONDA|ACC|BLK|32 VERNON ST|6152016|824|(41.7515139135731, -72.6856445085119)
323456|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|||1994|TOYT|CAMRY|GRN|18 FLORENCE ST|6152016|840|(41.7768112939245, -72.6781098733859)
323459|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|||2012|TAOTAO|SCOOTER|SILVER|145 KENSINGTON ST|6152016|1112|(41.7926953329669, -72.6752887127188)
323458|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|CT|AC47450|2000|TOYOTA|COROLLA|WHITE|186 AFFLECK ST|6152016|1029|(41.7573965393861, -72.6891472164408)
323463|||860-947-3062|CT|174XHO|1999|CHEVY|BLAZER|BLACK|138 STONINGTON ST|6152016|1543|(41.7547483400855, -72.6684720758503)
323467|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|CT|834MYD|2000|NISS|MAXIMA|GRN|189 WALNUT ST|6152016|1634|(41.7739062821819, -72.6847447014577)
323465|||860-947-3062|CT|AD68815|1997|NISSAN|ALTIMA|BLACK|170 WASHINGTON ST|6152016|1622|(41.7572529459339, -72.682090225379)
323464|||860-947-3062|CT|97437C|2002|MAZDA|PRESTEGE|GREEN|138 STONINGTON ST|6152016|1616|(41.7547483400855, -72.6684720758503)
323466|||860-947-3062|||1998|MERCEDES|E320|BLACK|104 WESTLAND ST|6152016|1631|(41.7904792519439, -72.6769453166432)
323468|||860-296-1518|||2003|CHEVY|TRAILBLAZE|GRAY|104 WESTLAND ST|6152016|1646|(41.7904792519439, -72.6769453166432)
323470|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|RI|NPT10|1997|HONDA|ACCRD|GOLD|49 WARD ST|6152016|2107|(41.7560727410871, -72.6849509573471)
323472|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|||2001|BMW|X5|WHITE|144 WESTLAND ST|6152016|2155|(41.7908147504127, -72.678634485979)
323471|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|||2004|ACURA|TL|WHITE|365 GARDEN ST|6152016|2147|(41.7790114186606, -72.6853797206039)
323477|||860-246-7771|CT|7ASDH5|2009|GMC|CANYON|GREY|193 SIGOURNEY ST|6162016|515|(41.7723080109779, -72.693304289823)
323476|||860-246-7771|CT|917UXE|1999|BUICK|CENTURY|GOLD|18 LAWRENCE ST|6162016|315|(41.7566320624293, -72.6879576485615)
323518|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|||2001|FORD|ESCAPE|BLACK|FRANKLIN AV & WHITMORE ST|6172016|735|(41.7452954469935, -72.6767485883259)
323529|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|||2005|ACURA|RL|GRAY|55 WAVERLY ST|6172016|1156|(41.7952001065712, -72.6823807137595)
323451|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|CT|AC63507|2014|HYUNDAI|AZERA|WHITE|ALBANY AV & SIGOURNEY ST|6142016|2259|(41.7797153732647, -72.6899281815288)
323462|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|||1998|PONTIAC|GRAND PRIX|RED|249 SISSON AV|6152016|1301|(41.7657514886346, -72.7076649888584)
323460|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|CT|1AMEK5|2002|MERC|MOUNT|BLK|RETREAT AV & WASHINGTON ST|6152016|1243|(41.7510824916939, -72.6831340942762)
323461|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|CT|8AKUP4|2003|HONDA|ACCORD|BLACK|308 HILLSIDE AV|6152016|1253|(41.7432754525205, -72.6981292063553)
323474|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|CT|4ATPD1|1998|NISSAN|MAXIMA|BLK|680 FRANKLIN AV|6162016|108|(41.7294664239612, -72.6725604503424)
323473|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|||2011|FORD|CROWN VIC|BLK/WHT|66 HUGHES ST|6162016|12|(41.7426021711116, -72.6973483522118)
323481|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|||2013|HONDA|ACCORD|WHITE|61 JAMES ST|6162016|821|(41.7592856058503, -72.7120661916592)
323483|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|CT|808REO|1998|NISSAN|ALTIMA|BLACK|161 MARTIN ST|6162016|901|(41.7900869333651, -72.680186135888)
323482|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|||1998|HONDA|ACCORD|BLACK|215 HILLSIDE AV|6162016|858|(41.7464965873, -72.698612492627)
323484|||860-296-9663|CT|AA54197|2005|ACURA|TSX|GRAY|299 WASHINGTON ST|6162016|1100|(41.752984954341, -72.6832188846478)
323487|||860-296-9663|CT|9AWRF3|2013|HYUNDAI|GENESIS|GRAY|16 OWEN ST|6162016|1115|(41.7664040994588, -72.7046894768443)
323486|||860-296-9663|CT|AA23986|2003|HONDA|ACCORD LX|GRAY|16 OWEN ST|6162016|1107|(41.7664040994588, -72.7046894768443)
323485|||860-296-9663|CT|651ZWL|2016|NISSAN|MAXIMA|WHITE|16 OWEN ST|6162016|1104|(41.7664040994588, -72.7046894768443)
323488|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|||2006|CAADY|DTS|BLACK|22 WARD PL|6162016|1213|(41.7500539489288, -72.6949751856079)
323491|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|CO20028|2016|TOYOTA|TACOMA|WHITE|11 CASE ST|6162016|1328|(41.766395335671, -72.6980877968796)
323492|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|||2000|MITSUBISHI|ECLIPSE|RED|227 SISSON AV|6162016|1349|(41.7650146659298, -72.7074111227265)
323495|INTERNATIONAL TOWING COMPANY|16,SOUTH ST,WEST HARTFORD,CT,99999|860-953-1675|||2005|DODGE|DURANGO|SILVER|704 PARK ST|6162016|1405|(41.7582098684175, -72.6887439863969)
323498|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|||2002|CHEVY|MONTE CARL|BLUE|990 CAPITOL AV|6162016|1434|(41.7604918054265, -72.7098953870839)
323494|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|CT|8ATFL4|2002|VOLVO|S80|BLACK|931 WEST BLVD|6162016|1358|(41.761120072909, -72.7111536176337)
323497|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|||2004|CHRYSLER|SEBRING|BLACK|60 NILES ST|6162016|1416|(41.7701137891397, -72.6976375879055)
323496|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|CT|431ZUU|2012|HONDA|ACCORD|BLACK|16 OWEN ST|6162016|1412|(41.7664040994588, -72.7046894768443)
323499|CORONA'S AUTO PARTS,INC.|608 WETHERSFIELD AV. HARTFORD CT. 06114|860-296-5382|CT|613YOL|2008|CHEVY|COBALT|BLUE|FARMINGTON AV & SIGOURNEY ST|6162016|1602|(41.7678177389064, -72.6937830411269)
323501|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|CT|7AFFW5|2014|NISSAN|ALTIMA|WHITE|458 FRANKLIN AV|6162016|1649|(41.7368963044759, -72.6750014258945)
323500|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|CT|AB69404|2005|CHEVY|IMPALA|RED|FARMINGTON AV & SIGOURNEY ST|6162016|1604|(41.7678177389064, -72.6937830411269)
323502|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|||2007|SAAB|95|GRY|JEFFERSON ST & WASHINGTON ST|6162016|1727|(41.7554154254644, -72.6826359540622)
323503|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|CT|2AWVF5|2006|MERCURY|MARINER|BLUE|30 MORRIS ST|6162016|1833|(41.7528960396048, -72.6755464388169)
323504|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|CT|JT423|2016|NISSAN|SENTRA|GRAY|PROSPECT AV & WARRENTON AV|6162016|1952|(41.7624716142974, -72.7156754891086)
323506|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|CT|AE95831|2000|MAZDA|MPV|BLK|175 NEW BRITAIN AV|6162016|2042|(41.7441137997624, -72.6883410523505)
323505|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|2661DD|2000|FORD|FOCUS|BLUE|PROSPECT AV & WARRENTON AV|6162016|1952|(41.7624716142974, -72.7156754891086)
323507|CORONA'S AUTO PARTS,INC.|608 WETHERSFIELD AV. HARTFORD CT. 06114|860-296-5382|CT|AC78644|2001|CHEVTY|CAVALIER|GRY|175 NEW BRITAIN AV|6162016|2056|(41.7441137997624, -72.6883410523505)
323509|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|CT|2AGXJ2|2011|HYUNDAI|ELANTRA|BLK|CORNWALL ST & MANCHESTER ST|6172016|7|(41.7994258811331, -72.6982558553698)
323510|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|CT|6AKUN2|2003|HYUN|ELANTRA|TAN|596 MAPLE AV|6172016|49|(41.7439829820627, -72.6820096480559)
323515|||860-296-9663|CT|AA73632|1996|HONDA|ACCORD|BLACK|194 WESTLAND ST|6172016|301|(41.7913118170933, -72.6807953657887)
323513|||860-296-1518|MA|1AJ837|2012|TOYOTA|CAMRY|WHITE|185 SIGOURNEY ST|6172016|140|(41.771980132776, -72.6934313079598)
323514|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|CT|2AXFD5|2014|CHRYS|200 LX|BLK|MARKET ST & MORGAN ST|6172016|253|(41.7693782592039, -72.6708941703684)
323516|||860-296-9663|CT|551ZAW|1992|HONDA|ACCORD|WHITE|500 GARDEN ST|6172016|352|(41.7833554548509, -72.6835414178509)
323517|||860-296-9663|CT|4AXAH7|2011|NISSAN|MAXIMA|SILVER|175 SIGOURNEY ST|6172016|445|(41.7715155534851, -72.6935405157475)
323521|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|||2003|HONDA|ACCORD|GRAY|89 WEBSTER ST|6172016|846|(41.7461876143872, -72.6833853748888)
323519|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|CT|190PSD|2012|NISSAN|ALTIMA|GRAY|80 CHARTER OAK AV|6172016|827|(41.7597110404981, -72.6711082043722)
323520|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|||0|FORD|MUSTANG|BLUE|375 LEDYARD ST|6172016|830|(41.7369956293796, -72.6680595693572)
323522|ELMWOOD AUTOMOTIVE|55,TALCOTT ROAD,WEST HARTFORD,CT,99999|860-949-4444|CT|4AVHH5|2002|HONDA|CIVIC|GRAY|56 WEBSTER ST|6172016|846|(41.7449665643081, -72.6827591099608)
323524|CORONA'S AUTO PARTS,INC.|608 WETHERSFIELD AV. HARTFORD CT. 06114|860-296-5382|CT|7M701|1985|DODGE|DIPLOMAT S|GRAY|241 NEW BRITAIN AV|6172016|957|(41.7431725222678, -72.6904185658238)
323523|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|||1995|TOYOTA|AVALON|TAN|114 WEBSTER ST|6172016|947|(41.7469851425211, -72.6830222467599)
323531|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|||2002|NISSAN|ALTIMA|SILVER|89 WESTON ST|6172016|1342|(41.7868213803991, -72.66408426158)
323532|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|CT|585SJH|1996|TOYOTA|CAMRY|TAN|910 PARK ST|6172016|1421|(41.7582253772451, -72.6927134831795)
323537|CORONA'S AUTO PARTS,INC.|608 WETHERSFIELD AV. HARTFORD CT. 06114|860-296-5382|||2014|TOYOTA|VENZA|GRAY|53 ALBANY AV|6172016|2024|(41.7742335687458, -72.6784500663788)
323538|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|CT|872WXD|2007|HYUNDAI|TUCSON|SILVER|981 PARK ST|6172016|2037|(41.7580207755922, -72.6936189595742)
323570|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|||2003|TOYOTA|COROLLA|BLACK|182 WARD ST|6182016|2228|(41.7562181586556, -72.6910245803648)
323598|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|||2001|HONDA|CIVIC|BLUE|CHARTER OAK AV & SOUTH PROSPECT ST|6192016|1923|(41.7594526654752, -72.6737439636204)
323633|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|CT|AC84592|2004|MAZDA|MAZDA3|GRAY|PARK ST & POPE PARK HWY|6202016|1828|(41.7581496333211, -72.7014574493656)
323643|||860-296-5382|CT|448WZE|2010|NISSAN|VERSA|GRAY|510 FARMINGTON AV|6212016|620|(41.7666735079119, -72.709106537033)
323641|||860-296-5382|CT|AA86772|2012|NISSAN|ROUGE|WHITE|30 TOWNLEY ST|6212016|422|(41.7722747116489, -72.6963800832057)
323534|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|||1999|HONDA|ACCORD|BLK|14 HARPER ST|6172016|1656|(41.7938066409861, -72.6825896199753)
323533|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|AC43694|2006|INFINITI|M35 SEDAN|GRY|BROAD ST & CAPITOL AV|6172016|1651|(41.763662819314, -72.6866612259551)
323542|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|||1994|HONDA|CBR900||1200 PARK ST|6172016|2215|(41.7590018445997, -72.6990862501806)
323541|||860-296-8588|CT|6ADAJ2|1992|HONDA|ACCORD|BLACK|154 ADAMS ST|6172016|2154|(41.7854134967379, -72.6993617973304)
323540|||860-296-8588|MA|9044FV|2006|HYUNDAI|SONATA|GRAY|90 WESTON ST|6172016|2139|(41.7872336264844, -72.663068523772)
323539|||860-296-8588|CT|5ANMF7|2001|TOYOTA|CELICA|SILVER|25 LAUREL ST|6172016|2125|(41.7597665707753, -72.6972019962096)
323562|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|CT|AE95195|1998|NISSAN|MAXIMA|BLACK|EVERGREEN AV & FARMINGTON AV|6182016|1636|(41.7664227014592, -72.7094852056611)
323564|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|||2002|BMW|X5|GRAY|COLTS PK-MAIN GATE|6182016|1704|
323563|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|CT|JW3975|1999|TOYOTA|CAMRY|BLUE|EVERGREEN AV & FARMINGTON AV|6182016|1639|(41.7664227014592, -72.7094852056611)
323536|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|CT|3ATAK7|1997|NISSAN|MAXIMA|TAN|ANNAWAN ST & WETHERSFIELD AV|6172016|1843|(41.7504316027653, -72.6738745228705)
323543|||860-947-3062|CT|NOPLATE|1996|PONTIAC|GRAND PRIX|GREEN|19 WILLARD ST|6182016|20|(41.7715460702724, -72.6956570842983)
323544|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|NC|HOLIDAY|2002|BMW|M3|GRY|GARDEN ST & HOMESTEAD AV|6182016|212|(41.7750928138636, -72.6865069232808)
323545|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|CT|7AVLV8|2008|BMW|328XI|GRY|70 AIRPORT RD|6182016|253|(41.7382912997503, -72.6680825863967)
323548|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|CT|1AFKF7|2004|SUBARU|FORESTER|RED|HARTLAND ST & MANCHESTER ST|6182016|335|(41.7993280366793, -72.7000580067467)
323549|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|556XKJ|2004|ACURA|MDX|BLK|HARTLAND ST & MANCHESTER ST|6182016|339|(41.7993280366793, -72.7000580067467)
323551|||860-233-7079|CT|502XJC|2005|MAZDA|MAZDA6I|BLUE|98 GARDEN ST|6182016|434|(41.7706323243722, -72.6855017297646)
323550|||860-233-7079|CT|3ALDT4|2011|NISSAN|SENTRA|BLACK|98 GARDEN ST|6182016|431|(41.7706323243722, -72.6855017297646)
323552|||860-233-7079|CT|601ZKP|1998|HONDA|ACCORD|BLACK|98 GARDEN ST|6182016|443|(41.7706323243722, -72.6855017297646)
323553|||860-233-7079|CT|NOPLATE|2002|SUBARU|OUTBACK|BLACK|98 GARDEN ST|6182016|604|(41.7706323243722, -72.6855017297646)
323554|||860-233-7079|CT|6AVTF9|1996|HONDA|ACCORD|WHITE|510 FARMINGTON AV|6182016|811|(41.7666735079119, -72.709106537033)
323555|||860-233-7079|CT|646YWA|2005|CHEVY|MALIBU|GOLD|15 DOROTHY ST|6182016|914|(41.7567915977676, -72.7123881395153)
323556|||860-233-7079|CT|3AFHF0|1994|TOYOTA|COROLLA|WHITE|107 HAMILTON ST|6182016|1046|(41.7527184406405, -72.6983197919499)
323557|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|CT|AC02170|1997|FORD|ESCORT|RED|28 WHITMORE ST|6182016|1137|(41.7452130359924, -72.6782168703918)
323560|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|||2016|NISSAN|MAXIMA|SILVER|177 WESTON ST|6182016|1549|(41.792189986312, -72.6605068639149)
323558|CORONA'S AUTO PARTS,INC.|608 WETHERSFIELD AV. HARTFORD CT. 06114|860-296-5382|CT|302XWR|2009|HONDA|CIVIC LX|GRAY|NEW BRITAIN AV & NEWFIELD AV|6182016|1534|(41.7319464479785, -72.7126898692842)
323559|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|CT|905CXC|2014|CHEVY|EQUINOX LS|WHITE|177 WESTON ST|6182016|1546|(41.792189986312, -72.6605068639149)
323561|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|||2014|CHEVY|TAHOE|BLK/WHITE|253 HIGH ST|6182016|1630|(41.7724354537278, -72.6780354428668)
323566|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|AD48493|2000|NISSAN|QWEST|GRAY|33 GRAND ST|6182016|1755|(41.7593582863983, -72.6861440753136)
